Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
GUARDIA PIEMONTESE,16,-,-,-,-
LAGO,46,1,-,-,9
LAINO BORGO,47,3,-,1,16
LAINO CASTELLO,7,-,-,-,-
LAPPANO,16,1,-,-,5
LATTARICO,98,3,-,-,32
LONGOBARDI,12,-,-,-,4
LONGOBUCCO,75,1,-,3,9
LUNGRO,34,3,-,-,1
LUZZI,250,5,-,2,79
MAIERA',19,-,-,-,1
MALITO,21,-,-,1,16
MALVITO,18,-,-,-,-
MANDATORICCIO,64,1,-,3,45
MANGONE,78,1,-,1,7
MARANO MARCHESATO,90,3,-,1,35
MARANO PRINCIPATO,75,-,-,-,17
MARZI,31,2,-,-,13
MENDICINO,243,-,-,3,69
MONGRASSANO,46,2,-,-,23
MONTALTO UFFUGO,556,5,-,7,181
MONTEGIORDANO,20,-,-,-,3
MORANO CALABRO,86,3,1,1,7
MORMANNO,114,6,1,-,34
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,18,-,-,-,8
PANETTIERI,10,1,-,-,2
PAOLA,257,4,1,2,82
PAPASIDERO,1,-,-,-,-
PARENTI,26,1,-,-,1
PATERNO CALABRO,116,-,-,1,8
PEDIVIGLIANO,53,-,-,1,36
PIANE CRATI,59,1,-,-,14
PIETRAFITTA,10,-,-,-,-
PIETRAPAOLA,24,2,1,1,15
PLATACI,2,-,-,-,-
PRAIA A MARE,111,4,-,1,20
RENDE,1116,20,-,19,426
ROCCA IMPERIALE,83,-,-,1,14
ROGGIANO GRAVINA,139,4,1,4,22
ROGLIANO,165,2,-,-,26
ROSE,193,3,1,1,34
ROSETO CAPO SPULICO,28,-,-,1,1
ROTA GRECA,34,3,-,-,2
ROVITO,101,1,-,-,18
SAN BASILE,10,-,-,-,2
SAN BENEDETTO ULLANO,27,2,-,-,2
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,22,-,-,-,-
SAN DONATO DI NINEA,10,2,-,1,3
SAN FILI,48,1,-,-,24
SAN GIORGIO ALBANESE,26,2,-,1,11
SAN GIOVANNI IN FIORE,726,21,-,2,148
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,52,-,-,-,6
SAN LUCIDO,144,4,1,2,34
SAN MARCO ARGENTANO,86,3,-,3,23
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,2
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,95,5,-,-,10
SAN SOSTI,68,4,1,5,27
SAN VINCENZO LA COSTA,39,3,-,2,8
SANGINETO,18,-,-,-,3
SANTA CATERINA ALBANESE,4,-,-,-,1
SANTA DOMENICA TALAO,15,-,-,-,1
SANTA MARIA DEL CEDRO,52,2,-,-,3
SANTA SOFIA D'EPIRO,61,2,-,1,1
SANT'AGATA DI ESARO,22,2,-,1,-
SANTO STEFANO DI ROGLIANO,67,-,-,-,16
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,-,9
SCALEA,121,3,-,-,21
SCIGLIANO,8,-,-,-,1
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,136,7,1,3,14
SPEZZANO DELLA SILA,171,9,-,1,31
TARSIA,19,1,-,-,7
TERRANOVA DA SIBARI,209,5,1,3,63
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,218,14,-,-,32
TORTORA,175,1,-,1,61
TREBISACCE,107,6,-,4,38
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,43,-,1,-,20
VILLAPIANA,78,-,-,1,34
ZUMPANO,115,1,1,1,27
