Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
GUARDIA PIEMONTESE,16,-,-,-,-
LAGO,46,1,-,-,9
LAINO BORGO,46,3,-,1,15
LAINO CASTELLO,7,-,-,-,-
LAPPANO,11,1,-,-,-
LATTARICO,95,3,-,-,29
LONGOBARDI,12,-,-,-,4
LONGOBUCCO,75,1,1,3,9
LUNGRO,34,3,-,-,1
LUZZI,240,5,-,2,69
MAIERA',19,-,-,-,1
MALITO,16,-,-,1,11
MALVITO,18,-,-,-,-
MANDATORICCIO,40,1,-,3,22
MANGONE,76,1,-,1,5
MARANO MARCHESATO,86,3,-,1,31
MARANO PRINCIPATO,75,-,-,-,19
MARZI,25,1,-,1,7
MENDICINO,236,-,-,3,69
MONGRASSANO,41,2,-,-,18
MONTALTO UFFUGO,516,5,-,7,142
MONTEGIORDANO,20,-,-,-,3
MORANO CALABRO,86,3,1,1,7
MORMANNO,110,6,-,-,31
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,18,-,-,-,8
PANETTIERI,10,1,-,-,2
PAOLA,252,4,1,1,79
PAPASIDERO,1,-,-,-,-
PARENTI,26,1,-,-,3
PATERNO CALABRO,115,-,-,1,9
PEDIVIGLIANO,53,-,-,1,36
PIANE CRATI,52,1,-,-,7
PIETRAFITTA,10,-,-,-,-
PIETRAPAOLA,23,2,1,1,14
PLATACI,2,-,-,-,-
PRAIA A MARE,110,4,-,1,20
RENDE,1075,20,-,21,396
ROCCA IMPERIALE,83,-,-,1,14
ROGGIANO GRAVINA,130,3,-,4,15
ROGLIANO,154,1,-,1,16
ROSE,172,3,1,1,13
ROSETO CAPO SPULICO,28,-,-,1,1
ROTA GRECA,32,3,-,-,-
ROVITO,101,1,-,-,22
SAN BASILE,10,-,-,-,2
SAN BENEDETTO ULLANO,27,2,-,-,2
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,22,-,-,-,-
SAN DONATO DI NINEA,10,2,-,3,2
SAN FILI,48,1,-,-,24
SAN GIORGIO ALBANESE,26,2,-,1,11
SAN GIOVANNI IN FIORE,664,21,-,3,85
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,52,-,-,-,6
SAN LUCIDO,143,4,1,2,33
SAN MARCO ARGENTANO,74,3,1,1,12
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,2
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,93,5,-,-,9
SAN SOSTI,67,4,1,5,26
SAN VINCENZO LA COSTA,38,3,-,2,7
SANGINETO,18,-,-,-,3
SANTA CATERINA ALBANESE,4,-,-,-,1
SANTA DOMENICA TALAO,15,-,-,-,3
SANTA MARIA DEL CEDRO,52,2,-,-,4
SANTA SOFIA D'EPIRO,60,2,-,-,1
SANT'AGATA DI ESARO,21,2,-,-,-
SANTO STEFANO DI ROGLIANO,67,-,-,-,17
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,1,8
SCALEA,121,3,-,-,21
SCIGLIANO,8,-,-,-,1
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,128,7,1,3,7
SPEZZANO DELLA SILA,169,9,-,2,29
TARSIA,19,1,-,-,7
TERRANOVA DA SIBARI,194,5,1,3,48
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,210,14,-,-,24
TORTORA,175,1,-,2,60
TREBISACCE,107,5,-,5,38
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,43,-,1,-,20
VILLAPIANA,78,-,-,1,35
ZUMPANO,108,1,1,1,31
