Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
GUARDIA PIEMONTESE,16,-,-,-,-
LAGO,46,1,-,-,6
LAINO BORGO,49,3,-,1,17
LAINO CASTELLO,7,-,-,-,-
LAPPANO,17,1,-,-,6
LATTARICO,119,3,-,1,46
LONGOBARDI,12,-,-,-,-
LONGOBUCCO,75,1,-,3,5
LUNGRO,34,3,-,-,-
LUZZI,276,5,-,3,83
MAIERA',19,-,-,-,1
MALITO,21,-,-,1,16
MALVITO,19,-,-,-,1
MANDATORICCIO,66,1,1,4,46
MANGONE,81,1,1,-,8
MARANO MARCHESATO,94,3,-,2,36
MARANO PRINCIPATO,78,-,-,1,17
MARZI,31,2,-,-,13
MENDICINO,246,-,-,2,65
MONGRASSANO,46,2,-,-,10
MONTALTO UFFUGO,591,5,-,8,182
MONTEGIORDANO,20,-,-,-,1
MORANO CALABRO,86,3,1,1,3
MORMANNO,114,6,1,-,17
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,11
PANETTIERI,10,1,-,-,2
PAOLA,265,4,1,2,84
PAPASIDERO,1,-,-,-,-
PARENTI,26,1,-,-,-
PATERNO CALABRO,116,-,-,1,8
PEDIVIGLIANO,53,-,-,-,35
PIANE CRATI,59,1,-,-,9
PIETRAFITTA,10,-,-,-,-
PIETRAPAOLA,24,2,-,2,15
PLATACI,2,-,-,-,-
PRAIA A MARE,115,4,-,1,23
RENDE,1148,20,2,16,392
ROCCA IMPERIALE,123,-,-,2,51
ROGGIANO GRAVINA,140,4,1,4,13
ROGLIANO,165,2,-,-,25
ROSE,200,4,-,1,39
ROSETO CAPO SPULICO,28,-,-,1,-
ROTA GRECA,34,3,-,-,2
ROVITO,101,1,-,-,12
SAN BASILE,10,-,-,-,2
SAN BENEDETTO ULLANO,27,2,-,-,1
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,30,-,-,-,8
SAN DONATO DI NINEA,10,2,-,-,-
SAN FILI,53,1,-,-,20
SAN GIORGIO ALBANESE,26,2,-,1,11
SAN GIOVANNI IN FIORE,783,21,1,3,155
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,52,-,-,-,2
SAN LUCIDO,145,4,1,2,22
SAN MARCO ARGENTANO,88,3,-,3,19
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,2
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,96,5,-,1,9
SAN SOSTI,73,4,2,4,32
SAN VINCENZO LA COSTA,39,4,-,-,6
SANGINETO,18,-,-,-,3
SANTA CATERINA ALBANESE,4,-,-,-,-
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,52,2,-,-,3
SANTA SOFIA D'EPIRO,67,2,-,2,6
SANT'AGATA DI ESARO,23,2,-,2,-
SANTO STEFANO DI ROGLIANO,67,-,-,-,16
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,-,8
SCALEA,122,3,-,-,14
SCIGLIANO,8,-,-,-,1
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,140,7,1,2,15
SPEZZANO DELLA SILA,172,9,-,1,31
TARSIA,19,1,-,-,7
TERRANOVA DA SIBARI,212,5,-,5,45
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,224,14,-,1,34
TORTORA,180,1,-,1,63
TREBISACCE,111,6,-,4,34
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,43,-,1,-,17
VILLAPIANA,80,-,-,1,21
ZUMPANO,124,1,1,1,25
