Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
TARSIA,20,1,-,-,1
TERRANOVA DA SIBARI,259,5,-,3,33
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,249,14,-,1,35
TORTORA,179,1,-,-,13
TREBISACCE,134,6,-,2,22
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,63,1,1,1,18
VILLAPIANA,94,-,-,2,8
ZUMPANO,136,3,-,1,22
