Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
SAN VINCENZO LA COSTA,41,4,-,-,5
SANGINETO,18,-,-,-,1
SANTA CATERINA ALBANESE,6,-,-,-,2
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,61,2,-,-,11
SANTA SOFIA D'EPIRO,71,2,-,-,11
SANT'AGATA DI ESARO,40,2,-,-,15
SANTO STEFANO DI ROGLIANO,72,1,-,1,3
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,127,3,-,-,11
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,170,7,1,2,34
SPEZZANO DELLA SILA,189,9,1,3,29
TARSIA,20,1,-,-,1
TERRANOVA DA SIBARI,244,5,-,5,44
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,243,14,-,-,31
TORTORA,179,1,-,-,36
TREBISACCE,132,6,-,4,37
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,46,-,1,1,17
VILLAPIANA,93,-,1,2,18
ZUMPANO,133,3,-,-,22
