Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
FUSCALDO,197,-,-,1,35
GRIMALDI,32,-,-,1,10
GRISOLIA,23,-,-,1,2
GUARDIA PIEMONTESE,46,1,-,1,22
LAGO,47,1,-,-,1
LAINO BORGO,56,3,-,-,1
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,5
LATTARICO,145,3,-,1,10
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,77,1,-,2,-
LUNGRO,46,3,1,-,10
LUZZI,324,7,-,-,26
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,-
MALVITO,31,2,-,1,1
MANDATORICCIO,110,2,-,2,43
MANGONE,88,2,-,-,8
MARANO MARCHESATO,107,5,-,-,12
MARANO PRINCIPATO,96,-,-,-,16
MARZI,35,2,-,-,1
MENDICINO,283,-,-,2,21
MONGRASSANO,52,2,-,-,2
MONTALTO UFFUGO,683,7,-,4,79
MONTEGIORDANO,21,-,-,-,1
MORANO CALABRO,95,4,-,-,4
MORMANNO,119,7,-,-,2
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,4,-,-,1,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,294,7,-,-,25
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,17
PATERNO CALABRO,117,-,-,-,1
PEDIVIGLIANO,72,-,-,1,18
PIANE CRATI,60,1,-,-,1
PIETRAFITTA,19,-,-,-,4
PIETRAPAOLA,46,2,-,-,22
PLATACI,2,-,-,-,-
PRAIA A MARE,119,4,-,-,4
RENDE,1294,25,1,3,128
ROCCA IMPERIALE,141,1,-,-,8
ROGGIANO GRAVINA,183,5,-,1,28
ROGLIANO,190,4,-,-,21
ROSE,214,5,-,1,1
ROSETO CAPO SPULICO,30,-,-,1,1
ROTA GRECA,35,3,-,-,-
ROVITO,108,1,-,-,3
SAN BASILE,12,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,41,-,-,-,4
SAN DONATO DI NINEA,26,3,1,-,12
SAN FILI,53,1,-,-,-
SAN GIORGIO ALBANESE,26,2,-,-,-
SAN GIOVANNI IN FIORE,865,26,-,2,23
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,70,-,-,1,4
SAN LUCIDO,155,5,-,-,10
SAN MARCO ARGENTANO,123,4,-,-,15
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,110,5,-,2,9
SAN SOSTI,87,5,-,1,-
SAN VINCENZO LA COSTA,42,4,-,-,3
SANGINETO,21,-,-,-,3
SANTA CATERINA ALBANESE,9,-,-,-,4
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,64,2,-,-,10
SANTA SOFIA D'EPIRO,71,2,-,-,3
SANT'AGATA DI ESARO,40,2,-,-,1
SANTO STEFANO DI ROGLIANO,80,1,-,1,10
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,137,3,1,2,12
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,196,8,-,-,23
SPEZZANO DELLA SILA,189,10,-,2,12
TARSIA,26,1,-,-,6
TERRANOVA DA SIBARI,264,6,-,1,14
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,253,14,-,1,22
TORTORA,179,1,-,-,-
TREBISACCE,135,6,-,2,10
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,68,1,-,2,21
VILLAPIANA,94,-,-,2,1
ZUMPANO,142,3,-,-,16
