Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
FUSCALDO,200,-,-,1,36
GRIMALDI,32,-,-,1,10
GRISOLIA,23,-,-,1,2
GUARDIA PIEMONTESE,46,1,-,1,20
LAGO,47,1,-,-,-
LAINO BORGO,56,3,-,-,1
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,5
LATTARICO,145,3,-,1,6
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,1,-
LUNGRO,46,3,1,-,9
LUZZI,324,7,-,-,22
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,-
MALVITO,31,2,-,1,1
MANDATORICCIO,110,2,-,2,27
MANGONE,88,2,-,-,6
MARANO MARCHESATO,107,5,-,-,12
MARANO PRINCIPATO,96,-,-,-,9
MARZI,35,2,-,-,-
MENDICINO,284,-,-,2,20
MONGRASSANO,52,2,-,-,2
MONTALTO UFFUGO,689,7,-,4,75
MONTEGIORDANO,21,-,-,-,1
MORANO CALABRO,95,4,-,-,4
MORMANNO,119,7,-,-,2
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,4,-,-,1,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,295,7,-,-,22
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,17
PATERNO CALABRO,117,-,-,-,1
PEDIVIGLIANO,72,-,-,1,18
PIANE CRATI,60,1,-,-,1
PIETRAFITTA,19,-,-,-,3
PIETRAPAOLA,46,2,-,-,17
PLATACI,2,-,-,-,-
PRAIA A MARE,119,4,-,-,4
RENDE,1306,25,1,3,117
ROCCA IMPERIALE,141,1,-,-,8
ROGGIANO GRAVINA,183,5,-,1,25
ROGLIANO,191,4,-,-,21
ROSE,214,5,-,1,-
ROSETO CAPO SPULICO,31,-,-,1,2
ROTA GRECA,35,3,-,-,-
ROVITO,108,1,-,-,3
SAN BASILE,12,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,41,-,-,-,3
SAN DONATO DI NINEA,26,4,-,-,12
SAN FILI,53,1,-,-,-
SAN GIORGIO ALBANESE,26,2,-,-,-
SAN GIOVANNI IN FIORE,865,26,-,2,22
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,70,-,-,1,3
SAN LUCIDO,158,5,-,-,13
SAN MARCO ARGENTANO,123,4,-,-,12
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,110,5,-,2,6
SAN SOSTI,87,5,-,1,-
SAN VINCENZO LA COSTA,42,4,-,-,3
SANGINETO,22,-,-,-,4
SANTA CATERINA ALBANESE,9,-,-,-,4
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,65,2,-,-,11
SANTA SOFIA D'EPIRO,71,2,-,-,3
SANT'AGATA DI ESARO,40,2,-,-,1
SANTO STEFANO DI ROGLIANO,80,1,-,1,8
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,141,3,1,3,15
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,198,8,-,-,17
SPEZZANO DELLA SILA,189,10,-,2,7
TARSIA,26,1,-,-,6
TERRANOVA DA SIBARI,264,6,-,1,11
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,253,14,-,1,21
TORTORA,181,1,-,-,2
TREBISACCE,136,6,-,1,10
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,73,1,-,2,26
VILLAPIANA,94,-,-,2,1
ZUMPANO,142,3,-,-,14
