Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,3
PATERNO CALABRO,118,-,-,-,1
PEDIVIGLIANO,77,-,-,2,15
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,3
PIETRAPAOLA,46,2,-,-,-
PLATACI,2,-,-,-,-
PRAIA A MARE,119,4,-,-,1
RENDE,1330,27,-,2,63
ROCCA IMPERIALE,141,1,-,-,2
ROGGIANO GRAVINA,186,5,-,1,10
ROGLIANO,194,4,-,-,8
ROSE,221,5,-,1,4
ROSETO CAPO SPULICO,31,-,1,-,2
ROTA GRECA,35,3,-,-,-
ROVITO,108,1,-,-,-
SAN BASILE,12,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,41,-,-,-,1
SAN DONATO DI NINEA,27,5,-,-,1
SAN FILI,54,1,-,-,1
SAN GIORGIO ALBANESE,26,2,-,-,-
SAN GIOVANNI IN FIORE,870,26,-,-,5
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,72,-,-,1,2
SAN LUCIDO,160,5,-,-,11
SAN MARCO ARGENTANO,137,4,-,-,14
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,113,5,-,-,4
SAN SOSTI,87,6,-,-,1
SAN VINCENZO LA COSTA,42,4,-,-,1
SANGINETO,23,-,-,-,4
SANTA CATERINA ALBANESE,12,-,-,-,3
SANTA DOMENICA TALAO,16,-,-,-,1
SANTA MARIA DEL CEDRO,73,3,-,-,10
SANTA SOFIA D'EPIRO,75,2,-,1,3
SANT'AGATA DI ESARO,40,2,-,-,-
SANTO STEFANO DI ROGLIANO,82,1,-,1,2
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,159,3,-,3,24
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,205,8,-,-,9
SPEZZANO DELLA SILA,190,10,-,-,1
TARSIA,31,1,-,-,7
TERRANOVA DA SIBARI,269,7,-,1,8
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,254,14,-,-,6
TORTORA,191,1,-,-,12
TREBISACCE,138,6,-,-,3
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,91,2,-,-,32
VILLAPIANA,95,-,-,2,1
ZUMPANO,145,3,-,-,6
