Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
FIGLINE VEGLIATURO,42,-,-,-,3
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,18,-,-,-,2
FRANCAVILLA MARITTIMA,73,4,-,-,23
FRASCINETO,64,2,-,-,-
FUSCALDO,219,-,-,-,45
GRIMALDI,38,-,-,-,16
GRISOLIA,23,-,-,1,1
GUARDIA PIEMONTESE,47,1,-,-,6
LAGO,47,1,-,-,-
LAINO BORGO,56,3,-,-,-
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,-
LATTARICO,145,3,1,-,4
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,1,-
LUNGRO,53,4,-,-,10
LUZZI,334,7,-,-,27
MAIERA',19,-,-,-,-
MALITO,21,1,-,-,-
MALVITO,31,2,-,1,-
MANDATORICCIO,111,2,-,1,1
MANGONE,90,2,-,-,3
MARANO MARCHESATO,108,5,-,-,4
MARANO PRINCIPATO,97,-,-,-,8
MARZI,35,2,-,-,-
MENDICINO,290,-,-,1,14
MONGRASSANO,55,2,-,1,3
MONTALTO UFFUGO,711,8,-,2,50
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,96,4,-,-,1
MORMANNO,119,7,-,-,-
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,4,-,-,-,1
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,297,8,-,-,16
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,3
PATERNO CALABRO,118,-,-,-,1
PEDIVIGLIANO,77,-,-,2,15
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,4
PIETRAPAOLA,46,2,-,-,-
PLATACI,2,-,-,-,-
PRAIA A MARE,119,4,-,-,3
RENDE,1326,27,-,5,75
ROCCA IMPERIALE,141,1,-,-,2
ROGGIANO GRAVINA,185,5,-,1,12
ROGLIANO,194,4,-,-,8
ROSE,221,5,-,1,4
ROSETO CAPO SPULICO,31,-,1,-,2
ROTA GRECA,35,3,-,-,-
ROVITO,108,1,-,-,-
SAN BASILE,12,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,41,-,-,-,3
SAN DONATO DI NINEA,26,4,-,-,4
SAN FILI,53,1,-,-,-
SAN GIORGIO ALBANESE,26,2,-,-,-
SAN GIOVANNI IN FIORE,870,26,-,-,5
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,72,-,-,1,2
SAN LUCIDO,160,5,-,-,12
SAN MARCO ARGENTANO,137,4,-,-,16
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,110,5,-,-,1
SAN SOSTI,87,6,-,-,1
SAN VINCENZO LA COSTA,42,4,-,-,1
SANGINETO,24,-,-,-,5
SANTA CATERINA ALBANESE,12,-,-,-,3
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,73,3,-,-,10
SANTA SOFIA D'EPIRO,75,2,-,1,3
SANT'AGATA DI ESARO,40,2,-,-,-
SANTO STEFANO DI ROGLIANO,82,1,-,1,2
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,149,3,-,3,14
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,204,8,-,-,11
SPEZZANO DELLA SILA,190,10,-,-,1
TARSIA,31,1,-,-,11
TERRANOVA DA SIBARI,269,7,-,1,10
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,254,14,-,-,11
TORTORA,191,1,-,-,12
TREBISACCE,138,6,-,-,4
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,84,2,-,-,30
VILLAPIANA,94,-,-,2,-
ZUMPANO,145,3,-,-,8
