Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
SANGINETO,24,-,-,-,5
SANTA CATERINA ALBANESE,12,-,-,-,3
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,70,2,1,-,8
SANTA SOFIA D'EPIRO,71,2,-,-,3
SANT'AGATA DI ESARO,40,2,-,-,1
SANTO STEFANO DI ROGLIANO,82,1,-,1,10
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,145,3,1,3,14
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,203,8,-,-,19
SPEZZANO DELLA SILA,189,10,-,1,2
TARSIA,30,1,-,-,10
TERRANOVA DA SIBARI,268,7,-,1,14
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,254,14,-,-,12
TORTORA,181,1,-,-,2
TREBISACCE,137,6,-,-,12
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,76,2,-,2,28
VILLAPIANA,94,-,-,2,1
ZUMPANO,145,3,-,-,16
