Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
PEDIVIGLIANO,77,-,-,1,15
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,2
PIETRAPAOLA,46,2,-,-,-
PLATACI,2,-,-,-,-
PRAIA A MARE,119,4,-,-,-
RENDE,1334,27,-,2,62
ROCCA IMPERIALE,141,1,-,-,-
ROGGIANO GRAVINA,187,5,-,1,2
ROGLIANO,194,4,-,-,4
ROSE,221,5,-,-,2
ROSETO CAPO SPULICO,31,-,1,-,1
ROTA GRECA,35,3,-,-,-
ROVITO,108,1,-,-,-
SAN BASILE,12,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,41,-,-,-,-
SAN DONATO DI NINEA,27,5,-,-,-
SAN FILI,54,1,-,-,1
SAN GIORGIO ALBANESE,26,2,-,-,-
SAN GIOVANNI IN FIORE,870,26,-,-,4
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,83,-,-,1,11
SAN LUCIDO,160,5,-,-,5
SAN MARCO ARGENTANO,137,4,-,-,11
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,113,5,-,-,3
SAN SOSTI,87,6,-,-,1
SAN VINCENZO LA COSTA,42,4,-,-,-
SANGINETO,23,-,-,-,1
SANTA CATERINA ALBANESE,12,-,-,-,2
SANTA DOMENICA TALAO,16,-,-,-,1
SANTA MARIA DEL CEDRO,76,3,-,-,12
SANTA SOFIA D'EPIRO,75,2,-,1,3
SANT'AGATA DI ESARO,40,2,-,-,-
SANTO STEFANO DI ROGLIANO,82,1,-,1,2
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,166,3,-,2,27
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,208,8,-,-,9
SPEZZANO DELLA SILA,190,10,-,-,1
TARSIA,31,1,-,-,1
TERRANOVA DA SIBARI,270,7,-,1,7
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,254,14,-,-,3
TORTORA,191,1,-,-,12
TREBISACCE,142,6,-,-,7
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,97,2,-,1,28
VILLAPIANA,95,-,-,1,1
ZUMPANO,145,3,-,-,4
